Territori,Tipus de territori,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Barcelona,Municipi,194.971,186.264,176.500,173.119,170.328,169.984,181.436,211.376,214.978,120.262,133.579,176.493,189.249,180.099,169.082,24.547
Ciutat Vella,Districte,49.819,46.276,41.591,40.207,38.721,40.900,44.124,53.720,49.622,22.245,28.550,41.123,46.340,43.015,37.781,4.924
Eixample,Districte,46.325,42.411,39.418,40.216,40.722,40.864,44.913,54.366,57.082,25.842,27.033,38.524,43.710,43.223,41.177,5.715
Sants-Montjuïc,Districte,22.504,21.371,20.230,20.047,20.180,18.813,19.814,23.297,24.461,13.907,14.813,20.766,21.834,20.021,19.713,3.025
Les Corts,Districte,8.094,8.007,7.616,6.860,6.749,7.071,7.077,7.351,8.155,5.328,5.932,8.186,7.520,6.823,6.910,1.104
Sarrià-Sant Gervasi,Districte,8.909,9.633,9.494,8.973,8.672,8.872,8.791,9.717,10.349,7.272,8.249,9.665,9.260,8.145,7.135,1.173
Gràcia,Districte,7.524,7.606,7.394,7.441,7.277,6.696,7.072,9.379,8.693,5.097,5.579,7.651,7.690,6.800,6.261,968
Horta-Guinardó,Districte,7.494,7.620,7.402,7.444,7.335,7.161,7.224,7.778,8.754,7.014,7.819,8.439,8.565,7.982,7.822,1.297
Nou Barris,Districte,8.642,8.805,9.049,8.659,8.502,8.370,8.275,8.196,8.414,7.587,8.489,9.300,9.096,9.117,8.798,1.447
Sant Andreu,Districte,9.519,9.593,10.090,10.116,9.917,9.364,10.323,10.783,11.149,8.846,8.828,9.796,9.860,10.524,11.043,1.759
Sant Martí,Districte,22.079,21.608,21.564,20.814,20.077,19.906,21.706,24.711,26.049,16.193,17.161,21.306,23.690,22.731,20.975,2.920
Districte no informat,Districte,4.062,3.334,2.652,2.342,2.176,1.967,2.117,2.078,2.250,931,1.126,1.737,1.684,1.718,1.467,215
